position,entry_time,entry_price,exit_time,exit_price,profit,profit_pct,duration,reason
SHORT,2024-12-09 11:07:00-05:00,24.68000030517578,2024-12-09 11:21:00-05:00,24.84000015258789,-0.15999984741210938,-0.6482975908981448,14.0,Stop Loss
LONG,2024-12-09 11:22:00-05:00,24.92099952697754,2024-12-09 11:47:00-05:00,24.879199981689453,-0.04179954528808594,-0.16772820545515038,25.0,Reversal
SHORT,2024-12-09 11:55:00-05:00,24.934999465942383,2024-12-09 12:00:00-05:00,25.021499633789062,-0.08650016784667969,-0.34690262562398066,5.0,Reversal
LONG,2024-12-09 12:01:00-05:00,25.07999992370605,2024-12-09 12:09:00-05:00,24.93000030517578,-0.14999961853026988,-0.5980846052096183,8.0,Stop Loss
SHORT,2024-12-09 12:13:00-05:00,24.915000915527344,2024-12-09 12:15:00-05:00,25.059999465942383,-0.14499855041503906,-0.5819728881674419,2.0,Stop Loss
SHORT,2024-12-09 12:26:00-05:00,25.01499938964844,2024-12-09 12:35:00-05:00,25.16320037841797,-0.1482009887695277,-0.5924485004419203,9.0,Stop Loss
SHORT,2024-12-09 12:43:00-05:00,24.899999618530277,2024-12-09 12:53:00-05:00,25.03809928894043,-0.1380996704101527,-0.5546171587383504,10.0,Stop Loss
SHORT,2024-12-09 12:56:00-05:00,24.950000762939453,2024-12-09 13:16:00-05:00,24.86000061035156,0.09000015258789418,0.36072204343007375,20.0,Reversal
LONG,2024-12-09 13:19:00-05:00,24.90999984741211,2024-12-09 13:30:00-05:00,24.84129905700684,-0.06870079040526988,-0.2757960290088367,11.0,Reversal
SHORT,2024-12-09 13:32:00-05:00,24.790000915527344,2024-12-09 14:00:00-05:00,24.8799991607666,-0.08999824523925781,-0.36304252487093275,28.0,Reversal
LONG,2024-12-09 14:06:00-05:00,24.90999984741211,2024-12-09 14:19:00-05:00,24.850000381469727,-0.05999946594238281,-0.24086497916464716,13.0,Reversal
SHORT,2024-12-09 14:25:00-05:00,24.729999542236328,2024-12-09 14:57:00-05:00,24.84000015258789,-0.1100006103515625,-0.4448063582196701,32.0,Reversal
LONG,2024-12-09 15:05:00-05:00,25.00589942932129,2024-12-09 15:42:00-05:00,25.0,-0.0058994293212890625,-0.02359215007627976,37.0,Reversal
LONG,2024-12-09 15:48:00-05:00,25.040000915527344,2024-12-09 15:59:00-05:00,25.209999084472656,0.1699981689453125,0.6789064006778704,11.0,End of Day
SHORT,2024-12-10 09:37:00-05:00,23.940000534057617,2024-12-10 09:45:00-05:00,24.100000381469727,-0.15999984741210938,-0.6683368581570822,8.0,Stop Loss
LONG,2024-12-10 09:47:00-05:00,23.950000762939453,2024-12-10 09:51:00-05:00,23.75,-0.20000076293945312,-0.8350762278427021,4.0,Stop Loss
SHORT,2024-12-10 09:53:00-05:00,23.73900032043457,2024-12-10 10:00:00-05:00,23.899999618530277,-0.16099929809570668,-0.6782058887168817,7.0,Stop Loss
SHORT,2024-12-10 10:14:00-05:00,23.399999618530277,2024-12-10 10:38:00-05:00,23.34000015258789,0.059999465942386365,0.25640797829275713,24.0,Reversal
LONG,2024-12-10 10:39:00-05:00,23.2106990814209,2024-12-10 10:40:00-05:00,23.100099563598636,-0.11059951782226207,-0.47650231229266127,1.0,Reversal
LONG,2024-12-10 10:45:00-05:00,23.149999618530277,2024-12-10 10:52:00-05:00,23.149900436401367,-9.918212890980271e-05,-0.00042843252934835033,7.0,Reversal
SHORT,2024-12-10 10:55:00-05:00,22.989900588989254,2024-12-10 11:45:00-05:00,22.674999237060547,0.3149013519287074,1.3697377711999577,50.0,Reversal
LONG,2024-12-10 11:46:00-05:00,22.690000534057617,2024-12-10 11:47:00-05:00,22.559999465942383,-0.13000106811523438,-0.5729443149201482,1.0,Stop Loss
SHORT,2024-12-10 11:48:00-05:00,22.530000686645508,2024-12-10 11:51:00-05:00,22.65999984741211,-0.12999916076660156,-0.5770046906552364,3.0,Stop Loss
LONG,2024-12-10 11:53:00-05:00,22.68000030517578,2024-12-10 12:10:00-05:00,22.709999084472656,0.029998779296875,0.13226974820643636,17.0,Reversal
SHORT,2024-12-10 12:18:00-05:00,22.5,2024-12-10 12:20:00-05:00,22.700000762939453,-0.20000076293945312,-0.8888922797309028,2.0,Stop Loss
LONG,2024-12-10 12:21:00-05:00,22.75040054321289,2024-12-10 12:39:00-05:00,22.7549991607666,0.0045986175537109375,0.0202133476506322,18.0,Reversal
SHORT,2024-12-10 12:41:00-05:00,22.697099685668945,2024-12-10 12:44:00-05:00,22.71999931335449,-0.022899627685543322,-0.10089230783967634,3.0,Reversal
LONG,2024-12-10 12:50:00-05:00,22.84000015258789,2024-12-10 13:12:00-05:00,22.68630027770996,-0.1536998748779297,-0.6729416543393266,22.0,Stop Loss
LONG,2024-12-10 13:20:00-05:00,22.796600341796875,2024-12-10 14:00:00-05:00,22.82710075378418,0.030500411987304688,0.1337936864707985,40.0,Reversal
LONG,2024-12-10 14:01:00-05:00,22.910999298095703,2024-12-10 14:13:00-05:00,23.06999969482422,0.15900039672851562,0.6939915394337745,12.0,Reversal
LONG,2024-12-10 14:20:00-05:00,22.986900329589844,2024-12-10 14:32:00-05:00,22.940000534057617,-0.04689979553222656,-0.2040283590208763,12.0,Reversal
LONG,2024-12-10 14:35:00-05:00,23.020000457763672,2024-12-10 15:00:00-05:00,22.934999465942383,-0.08500099182128906,-0.369248436711572,25.0,Reversal
SHORT,2024-12-10 15:01:00-05:00,22.82999992370605,2024-12-10 15:22:00-05:00,23.020000457763672,-0.19000053405762074,-0.8322406250222075,21.0,Stop Loss
LONG,2024-12-10 15:23:00-05:00,23.020000457763672,2024-12-10 15:30:00-05:00,23.149999618530277,0.12999916076660512,0.564722668034361,7.0,Reversal
SHORT,2024-12-10 15:39:00-05:00,23.440000534057617,2024-12-10 15:40:00-05:00,23.575300216674805,-0.1352996826171875,-0.5772170628605623,1.0,Stop Loss
SHORT,2024-12-10 15:45:00-05:00,23.200000762939453,2024-12-10 15:57:00-05:00,23.325000762939453,-0.125,-0.5387930857298922,12.0,Stop Loss
LONG,2024-12-10 15:58:00-05:00,23.295000076293945,2024-12-10 15:59:00-05:00,23.32999992370605,0.03499984741210582,0.15024617856826394,1.0,End of Day
SHORT,2024-12-11 09:37:00-05:00,22.700000762939453,2024-12-11 09:53:00-05:00,22.843799591064453,-0.143798828125,-0.6334749924756359,16.0,Stop Loss
LONG,2024-12-11 09:54:00-05:00,22.790000915527344,2024-12-11 10:01:00-05:00,22.489999771118164,-0.3000011444091797,-1.3163717962151644,7.0,Stop Loss
SHORT,2024-12-11 10:24:00-05:00,22.441699981689453,2024-12-11 10:50:00-05:00,22.299999237060547,0.14170074462890625,0.631417159771863,26.0,Reversal
